Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Luxembourg,0,0,0,0,0,0,2,3,7,12,0,22,451,12,497
Malta,0,0,0,0,0,0,8,9,31,48,0,27,563,42,680
Monaco,0,0,0,0,0,0,6,7,23,36,0,13,382,26,457
Montenegro,1,0,1,1,0,2,17,31,59,107,0,87,978,82,"1,255"
Netherlands,1,0,1,0,0,1,8,5,33,46,0,49,752,37,885
North Macedonia,2,0,2,2,0,4,19,35,67,121,0,60,725,49,957
Norway,0,0,0,0,0,0,7,11,40,58,0,46,661,30,795
Poland,1,0,1,0,0,1,3,13,36,52,0,59,756,34,902
Portugal,6,0,6,17,0,23,107,94,133,334,0,123,"1,698",290,"2,451"
Romania,2,0,2,2,0,4,19,28,76,123,0,74,930,74,"1,203"
San Marino,0,0,0,0,0,0,1,0,2,3,0,5,61,4,73
Serbia,0,0,0,1,0,1,10,12,50,72,0,65,824,29,990
Slovakia,0,0,0,0,0,0,6,12,36,54,0,60,723,44,881
Slovenia,0,0,0,0,0,0,12,27,107,146,0,56,"1,081",85,"1,368"
Spain,2,0,2,12,0,14,77,142,230,449,0,275,"2,175",495,"3,396"
Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,10,11,0,7,74,4,96
Sweden,0,0,0,0,0,0,5,7,36,48,0,50,681,32,811
Switzerland,6,0,6,0,0,6,4,15,53,72,0,68,782,58,986
United Kingdom,2,0,2,0,0,2,12,21,58,91,0,60,986,72,"1,211"
Belize,1,0,1,0,0,1,11,28,58,97,0,59,"2,074",94,"2,325"
Costa Rica,4,0,4,7,0,11,35,82,154,271,0,107,"3,392",235,"4,009"
El Salvador,0,0,0,0,0,0,8,24,52,84,0,49,"1,615",84,"1,832"
Guatemala,3,0,3,5,0,8,47,88,122,257,0,83,"2,810",167,"3,320"
Honduras,4,0,4,10,0,14,62,76,107,245,0,88,"3,030",160,"3,527"
Mexico,21,9,30,35,3,68,202,343,362,907,1,217,"4,930",585,"6,670"
Nicaragua,1,0,1,0,0,1,26,31,95,152,0,82,"2,948",162,"3,345"
Panama,2,0,2,8,1,11,56,82,131,269,0,118,"3,534",296,"4,219"
Algeria,2,1,3,0,0,3,18,40,77,135,0,56,928,142,"1,264"
Egypt,1,1,2,0,0,2,15,36,129,180,2,134,"1,759",184,"2,261"
Libya,0,1,1,0,0,1,11,18,45,74,0,29,689,69,862
Morocco,2,0,2,0,0,2,30,63,95,188,0,79,"1,458",176,"1,903"
Tunisia,11,0,11,1,0,12,16,26,61,103,0,47,856,102,"1,119"
Western Sahara,0,1,1,0,0,1,7,22,36,65,0,36,930,102,"1,134"
Canada,9,0,9,3,0,12,18,32,84,134,0,64,"1,902",87,"2,196"
Saint Pierre and Miquelon,0,0,0,0,0,0,2,4,16,22,0,16,403,17,458
United States,237,4,241,29,0,270,224,298,566,"1,088",5,336,"5,719",609,"7,998"
Belarus,0,0,0,0,0,0,3,2,21,26,0,38,482,8,554
Moldova,1,0,1,0,0,1,6,5,22,33,0,33,442,6,515
Russian Federation,3,1,4,2,0,6,28,49,111,188,0,118,"1,735",233,"2,278"
Ukraine,2,0,2,1,0,3,12,26,56,94,0,66,889,78,"1,129"
American Samoa,1,0,1,0,0,1,3,20,77,100,3,82,"1,248",57,"1,491"
Australia,42,0,42,7,0,49,138,255,613,"1,006",3,442,"5,868",661,"8,022"
Christmas Island,4,2,6,1,0,7,3,16,30,49,0,29,939,31,"1,054"
Cocos (Keeling) Islands,0,0,0,0,0,0,1,13,33,47,0,26,842,31,946
Cook Islands,15,0,15,0,0,15,1,15,53,69,1,52,"1,011",50,"1,198"
Fiji,1,0,1,5,0,6,28,52,166,246,3,163,"1,809",132,"2,354"
French Polynesia,60,11,71,2,0,73,46,26,67,139,2,62,"1,290",107,"1,671"
Guam,5,1,6,0,0,6,8,26,72,106,2,91,"1,220",105,"1,530"
Kiribati,1,0,1,0,0,1,0,17,96,113,3,117,"1,277",63,"1,574"
Marshall Islands,0,0,0,0,0,0,1,14,94,109,3,118,"1,325",63,"1,618"
"Micronesia, Federated States of",2,0,2,1,0,3,6,29,139,174,3,148,"1,641",126,"2,094"
Nauru,0,0,0,0,0,0,1,10,79,90,0,110,"1,032",39,"1,271"
New Caledonia,5,0,5,3,0,8,41,56,159,256,3,163,"2,187",182,"2,796"
New Zealand,23,0,23,7,0,30,45,77,109,231,0,66,"1,066",210,"1,596"
Niue,0,0,0,0,0,0,1,13,44,58,0,54,885,34,"1,031"
Norfolk Island,8,0,8,0,0,8,2,11,36,49,0,28,637,27,749
Northern Mariana Islands,2,0,2,0,0,2,9,24,72,105,3,91,"1,293",70,"1,564"
Palau,1,0,1,13,0,14,28,35,128,191,4,146,"1,884",107,"2,333"
