Year,Threatened_category,Classification_organism,Number_of_Species
2007,EN,Other invertebrates,96
2007,VU,Other invertebrates,325
2007,CR,Plants,1569
2007,EN,Plants,2278
2007,VU,Plants,4600
2007,CR,Fungi &protists,2
2007,EN,Fungi &protists,1
2007,VU,Fungi &protists,0
2007,CR,TOTAL,3120
2007,EN,TOTAL,4563
2007,VU,TOTAL,8617
2008,CR,Mammals,188
2008,EN,Mammals,448
2008,VU,Mammals,505
2008,CR,Birds,190
2008,EN,Birds,361
2008,VU,Birds,671
2008,CR,Amphibians,475
2008,EN,Amphibians,755
2008,VU,Amphibians,675
2008,CR,Fishes,289
2008,EN,Fishes,269
2008,VU,Fishes,717
2008,CR,  Insects,70
2008,EN,  Insects,132
2008,VU,  Insects,424
2008,CR,Molluscs,268
2008,EN,Molluscs,224
2008,VU,Molluscs,486
2008,CR,Other invertebrates,99
2008,EN,Other invertebrates,165
2008,VU,Other invertebrates,628
2008,CR,Plants,1575
2008,EN,Plants,2280
2008,VU,Plants,4602
2008,CR,Fungi &protists,2
2008,EN,Fungi &protists,1
2008,VU,Fungi &protists,0
2008,CR,TOTAL,3242
2008,EN,TOTAL,4769
2008,VU,TOTAL,8911
2009,CR,Mammals,188
2009,EN,Mammals,449
2009,VU,Mammals,505
2009,CR,Birds,192
2009,EN,Birds,362
2009,VU,Birds,669
2009,CR,Amphibians,484
2009,EN,Amphibians,754
2009,VU,Amphibians,657
2009,CR,Fishes,306
2009,EN,Fishes,298
2009,VU,Fishes,810
2009,CR,  Insects,89
2009,EN,  Insects,151
2009,VU,  Insects,471
2009,CR,Molluscs,291
2009,EN,Molluscs,245
2009,VU,Molluscs,500
2009,CR,Other invertebrates,99
2009,EN,Other invertebrates,164
2009,VU,Other invertebrates,629
2009,CR,Plants,1577
2009,EN,Plants,2316
2009,VU,Plants,4607
2009,CR,Fungi &protists,2
2009,EN,Fungi &protists,1
2009,VU,Fungi &protists,0
2009,CR,TOTAL,3321
2009,EN,TOTAL,4890
2009,VU,TOTAL,9074
2010,CR,Mammals,188
