,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
70,Lithuania,0,0,0,0,0,0,0,2,11,13,0,6,12,0,31,fungus
71,Luxembourg,0,0,0,0,0,0,0,0,2,2,0,1,29,0,32,fungus
72,Malta,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,fungus
73,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
74,Montenegro,0,0,0,0,0,0,0,0,4,4,0,2,3,0,9,fungus
75,Netherlands,0,0,0,0,0,0,0,2,24,26,0,9,35,0,70,fungus
76,North Macedonia,0,0,0,0,0,0,0,2,5,7,0,2,3,0,12,fungus
77,Norway,0,0,0,0,0,0,2,6,34,42,0,19,40,1,102,fungus
78,Poland,0,0,0,0,0,0,0,4,24,28,0,18,32,2,80,fungus
79,Portugal,0,0,0,0,0,0,1,4,5,10,0,5,26,0,41,fungus
80,Romania,0,0,0,0,0,0,0,1,7,8,0,3,16,0,27,fungus
81,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
82,Serbia,0,0,0,0,0,0,0,0,7,7,0,5,23,0,35,fungus
83,Slovakia,0,0,0,0,0,0,0,4,28,32,0,12,35,2,81,fungus
84,Slovenia,0,0,0,0,0,0,0,1,19,20,0,11,36,0,67,fungus
85,Spain,0,0,0,0,0,0,0,4,38,42,0,14,43,2,101,fungus
86,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
87,Sweden,0,0,0,0,0,0,1,5,39,45,0,25,41,1,112,fungus
88,Switzerland,0,0,0,0,0,0,1,5,34,40,0,19,34,1,94,fungus
89,United Kingdom,0,0,0,0,0,0,1,2,34,37,0,10,40,0,87,fungus
90,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
91,Costa Rica,0,0,0,0,0,0,0,0,4,4,0,5,5,0,14,fungus
92,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
93,Guatemala,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,fungus
94,Honduras,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,fungus
95,Mexico,0,0,0,0,0,0,1,1,4,6,0,3,19,1,29,fungus
96,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
97,Panama,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,fungus
98,Algeria,0,0,0,0,0,0,0,0,2,2,0,1,3,0,6,fungus
99,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
100,Libya,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
101,Morocco,0,0,0,0,0,0,0,1,4,5,0,2,4,0,11,fungus
102,Tunisia,0,0,0,0,0,0,0,1,1,2,0,0,2,0,4,fungus
103,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
104,Canada,0,0,0,0,0,0,1,10,14,25,0,16,36,2,79,fungus
105,Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
106,United States,0,0,0,1,0,1,12,30,30,72,0,19,43,6,140,fungus
107,Belarus,0,0,0,0,0,0,0,1,2,3,0,2,7,0,12,fungus
