Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ESH
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TKM
United Arab Emirates,0,0,0,0,0,0,10,25,45,80,0,57,"1,072",58,"1,267",animal,ARE
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,54,0,54,plant,ARE
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ARE
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,YEM
Uzbekistan,0,0,0,2,0,2,9,10,28,47,0,28,505,22,602,animal,UZB
Uzbekistan,0,0,0,0,0,0,4,7,3,14,0,1,198,16,229,plant,UZB
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,ZMB
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,UZB
Yemen,2,0,2,1,0,3,11,34,118,163,0,154,"1,909",185,"2,413",animal,YEM
Yemen,3,0,3,0,0,3,6,28,129,163,0,23,426,32,647,plant,YEM
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ZWE
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,YEM
