Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,2,2,0,1,128,2,133,plant,KNA
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,KNA
Bhutan,0,0,0,0,0,0,0,0,2,2,0,0,2,0,4,fungus,BTN
Saint Lucia,3,0,3,0,0,3,10,21,35,66,0,31,"1,274",62,"1,436",animal,LCA
Saint Lucia,0,0,0,0,0,0,0,2,6,8,0,3,207,1,219,plant,LCA
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LCA
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,BOL
Saint Martin (French part),0,0,0,1,0,1,9,11,35,55,0,19,"1,038",65,"1,177",animal,MAF
Saint Martin (French part),0,0,0,0,0,0,0,2,1,3,0,1,118,1,123,plant,MAF
Saint Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MAF
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BES
Saint Vincent and the Grenadines,1,0,1,0,0,1,9,16,38,63,0,29,"1,302",68,"1,463",animal,VCT
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,1,4,5,0,3,220,2,230,plant,VCT
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VCT
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,1,1,0,1,4,0,6,fungus,BIH
Sint Maarten (Dutch part),0,0,0,1,0,1,9,11,35,55,0,17,"1,016",58,"1,146",animal,SXM
Sint Maarten (Dutch part),0,0,0,0,0,0,0,2,0,2,0,1,67,0,70,plant,SXM
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SXM
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BWA
Trinidad and Tobago,0,0,0,0,0,0,14,18,49,81,1,38,"1,906",89,"2,115",animal,TTO
Trinidad and Tobago,0,0,0,6,0,6,15,20,15,50,0,8,479,7,544,plant,TTO
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TTO
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BVT
Turks and Caicos Islands,0,0,0,0,0,0,7,14,37,58,0,28,"1,195",67,"1,348",animal,TCA
Turks and Caicos Islands,0,0,0,0,0,0,1,7,1,9,0,2,107,1,119,plant,TCA
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TCA
Brazil,0,0,0,0,0,0,1,2,13,16,0,1,5,4,26,fungus,BRA
"Virgin Islands, British",0,0,0,2,0,2,14,15,38,67,0,29,"1,263",72,"1,431",animal,VGB
"Virgin Islands, British",0,0,0,0,0,0,2,15,7,24,0,12,180,0,216,plant,VGB
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VGB
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,IOT
"Virgin Islands, U.S.",1,0,1,5,0,6,11,16,30,57,0,29,"1,243",71,"1,401",animal,VIR
"Virgin Islands, U.S.",0,0,0,0,0,0,2,10,8,20,0,12,201,0,233,plant,VIR
"Virgin Islands, U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VIR
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BRN
China,4,1,5,17,0,22,105,198,314,617,1,247,"4,316","1,045","6,231",animal,CHN
China,3,0,3,8,4,15,113,291,262,666,4,98,"2,349",202,"3,322",plant,CHN
Bulgaria,0,0,0,0,0,0,0,0,8,8,0,5,12,0,25,fungus,BGR
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CHN
Hong Kong,0,0,0,1,0,1,13,24,40,77,1,30,940,91,"1,139",animal,HKG
Hong Kong,0,0,0,0,0,0,3,6,5,14,0,5,295,2,316,plant,HKG
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BFA
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HKG
Japan,14,1,15,1,0,16,46,149,256,451,3,267,"3,372",508,"4,616",animal,JPN
Japan,0,0,0,0,0,0,14,22,18,54,0,17,704,29,804,plant,JPN
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BDI
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,JPN
"Korea, Democratic People's Republic of",1,0,1,0,0,1,7,26,47,80,0,37,718,72,908,animal,PRK
"Korea, Democratic People's Republic of",0,0,0,0,0,0,1,11,7,19,0,3,267,14,303,plant,PRK
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CIV
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,PRK
"Korea, Republic of",1,0,1,0,0,1,12,39,61,112,0,50,"1,242",108,"1,513",animal,KOR
"Korea, Republic of",0,0,0,0,0,0,6,20,11,37,0,7,340,9,393,plant,KOR
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,CPV
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,KOR
Macao,0,0,0,0,0,0,5,10,11,26,0,5,402,31,464,animal,MAC
Macao,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,plant,MAC
Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MAC
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,KHM
Mongolia,0,0,0,0,0,0,5,11,24,40,0,29,546,10,625,animal,MNG
Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,217,10,228,plant,MNG
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CMR
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MNG
"Taiwan, Province of China",0,0,0,0,0,0,21,69,221,311,2,214,"2,997",308,"3,832",animal,TWN
"Taiwan, Province of China",0,1,1,2,1,4,16,41,31,88,1,14,591,16,711,plant,TWN
Canada,0,0,0,0,0,0,1,10,14,25,0,16,36,2,79,fungus,CAN
"Taiwan, Province of China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TWN
Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,animal,ALA
Åland Islands,0,0,0,0,0,0,0,0,1,1,0,0,12,0,13,plant,ALA
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CYM
Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ALA
Albania,1,0,1,1,0,2,19,49,72,140,0,88,"1,045",79,"1,353",animal,ALB
Albania,0,0,0,0,0,0,1,0,4,5,0,6,489,32,532,plant,ALB
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CAF
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ALB
Andorra,0,0,0,0,0,0,0,3,11,14,0,20,309,7,350,animal,AND
Andorra,0,0,0,0,0,0,0,0,1,1,0,1,124,7,133,plant,AND
Chad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,TCD
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,AND
Austria,3,0,3,4,0,7,24,29,52,105,0,81,851,66,"1,106",animal,AUT
Austria,0,0,0,0,0,0,6,17,15,38,0,10,479,30,557,plant,AUT
Chile,0,0,0,0,0,0,1,7,7,15,0,5,27,2,49,fungus,CHL
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,AUT
Belgium,1,0,1,0,0,1,6,6,32,44,0,48,704,38,835,animal,BEL
Belgium,0,1,1,0,0,1,0,1,2,3,0,5,368,13,390,plant,BEL
China,0,0,0,0,0,0,0,1,7,8,0,5,19,1,33,fungus,CHN
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BEL
Bosnia and Herzegovina,0,0,0,0,0,0,9,29,62,100,0,69,908,89,"1,166",animal,BIH
Bosnia and Herzegovina,0,0,0,0,0,0,1,2,2,5,0,7,370,22,404,plant,BIH
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CXR
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BIH
Bulgaria,0,0,0,0,0,0,16,19,73,108,0,86,938,72,"1,204",animal,BGR
Bulgaria,0,0,0,0,0,0,1,4,8,13,0,10,510,47,580,plant,BGR
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CCK
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BGR
Croatia,1,0,1,3,0,4,34,42,105,181,0,99,"1,208",124,"1,613",animal,HRV
Croatia,1,0,1,0,0,1,1,6,4,11,0,11,513,36,572,plant,HRV
Colombia,0,0,0,0,0,0,1,0,4,5,0,5,8,0,18,fungus,COL
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HRV
Czechia,0,0,0,0,0,0,4,10,31,45,0,55,706,39,845,animal,CZE
Czechia,0,0,0,0,0,0,10,14,7,31,0,5,408,25,469,plant,CZE
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,COM
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CZE
Denmark,0,0,0,0,0,0,7,9,36,52,0,42,688,32,814,animal,DNK
Denmark,0,0,0,0,0,0,0,0,2,2,0,4,321,9,336,plant,DNK
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,COG
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DNK
Estonia,0,0,0,0,0,0,2,4,17,23,0,29,517,9,578,animal,EST
Estonia,0,0,0,0,0,0,1,0,1,2,0,1,256,4,263,plant,EST
"Congo, The Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus,COD
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,EST
Faroe Islands,1,0,1,0,0,1,3,5,19,27,0,16,300,20,364,animal,FRO
Faroe Islands,0,0,0,0,0,0,0,0,1,1,0,0,89,0,90,plant,FRO
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,COK
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,FRO
Finland,0,0,0,0,0,0,4,3,23,30,0,38,537,14,619,animal,FIN
Finland,0,0,0,0,0,0,0,1,3,4,0,2,330,10,346,plant,FIN
Costa Rica,0,0,0,0,0,0,0,0,4,4,0,5,5,0,14,fungus,CRI
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,FIN
France,8,0,8,6,0,14,30,63,169,262,0,159,"1,943",287,"2,659",animal,FRA
France,1,1,2,0,0,2,8,22,33,63,0,42,798,40,945,plant,FRA
Croatia,0,0,0,0,0,0,0,5,19,24,0,8,19,1,52,fungus,HRV
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,FRA
Germany,4,0,4,5,0,9,18,29,62,109,0,83,939,82,"1,217",animal,DEU
Germany,0,0,0,0,0,0,17,18,16,51,0,14,485,25,575,plant,DEU
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus,CUB
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DEU
Gibraltar,0,0,0,0,0,0,5,8,30,43,0,20,530,32,625,animal,GIB
Gibraltar,0,0,0,0,0,0,0,0,1,1,0,0,37,1,39,plant,GIB
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GIB
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,CUW
Greece,4,0,4,11,1,16,77,114,250,441,0,161,"1,528",264,"2,398",animal,GRC
Greece,0,0,0,1,0,1,17,28,32,77,0,31,607,76,791,plant,GRC
Cyprus,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,fungus,CYP
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRC
Greenland,1,0,1,0,0,1,2,5,20,27,0,8,217,20,273,animal,GRL
Greenland,0,0,0,0,0,0,0,0,1,1,0,0,124,0,125,plant,GRL
Czechia,0,0,0,0,0,0,0,2,29,31,0,17,31,3,82,fungus,CZE
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRL
Guernsey,0,0,0,0,0,0,1,1,11,13,0,3,197,12,225,animal,GGY
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,plant,GGY
Denmark,0,0,0,0,0,0,0,2,27,29,0,11,38,0,78,fungus,DNK
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GGY
Holy See (Vatican City State),0,0,0,0,0,0,0,0,2,2,0,3,21,2,28,animal,VAT
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,plant,VAT
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VAT
Bolivia,0,0,0,9,0,9,35,34,88,157,2,98,"2,312",132,"2,701",animal,BOL
Hungary,0,0,0,0,0,0,7,15,41,63,0,54,693,47,857,animal,HUN
Hungary,0,0,0,0,0,0,13,14,18,45,0,5,396,30,476,plant,HUN
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,DJI
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HUN
Iceland,1,0,1,0,0,1,5,8,20,33,0,19,353,27,433,animal,ISL
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,145,2,147,plant,ISL
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,DMA
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ISL
Ireland,1,0,1,0,0,1,9,11,37,57,0,37,768,65,928,animal,IRL
Ireland,0,0,0,0,0,0,2,2,4,8,0,10,311,3,332,plant,IRL
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,DOM
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,IRL
Isle of Man,0,0,0,0,0,0,1,2,4,7,0,3,79,6,95,animal,IMN
Isle of Man,0,0,0,0,0,0,0,1,0,1,0,0,71,0,72,plant,IMN
Ecuador,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,fungus,ECU
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,IMN
Italy,3,0,3,7,0,10,48,97,181,326,0,199,"1,619",263,"2,410",animal,ITA
Italy,0,0,0,1,0,1,41,42,38,121,0,55,810,68,"1,054",plant,ITA
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus,EGY
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ITA
Jersey,0,0,0,0,0,0,1,1,12,14,0,2,204,12,232,animal,JEY
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,70,0,70,plant,JEY
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,SLV
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,JEY
Latvia,0,0,0,0,0,0,2,4,25,31,0,39,556,16,642,animal,LVA
Latvia,0,0,0,0,0,0,1,0,0,1,0,2,237,6,246,plant,LVA
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GNQ
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LVA
Liechtenstein,0,0,0,0,0,0,0,1,7,8,0,24,396,7,435,animal,LIE
Liechtenstein,0,0,0,0,0,0,0,1,0,1,0,1,205,10,217,plant,LIE
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ERI
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LIE
Lithuania,0,0,0,0,0,0,2,3,21,26,0,34,541,15,616,animal,LTU
Lithuania,0,0,0,0,0,0,0,1,1,2,0,2,239,8,251,plant,LTU
Estonia,0,0,0,0,0,0,0,1,24,25,0,17,36,1,79,fungus,EST
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LTU
Luxembourg,0,0,0,0,0,0,2,3,7,12,0,22,451,12,497,animal,LUX
Luxembourg,0,1,1,0,0,1,0,1,2,3,0,2,229,9,244,plant,LUX
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,SWZ
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LUX
Malta,0,0,0,0,0,0,8,9,31,48,0,27,563,42,680,animal,MLT
Malta,0,0,0,0,0,0,2,1,1,4,0,3,168,8,183,plant,MLT
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ETH
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MLT
Monaco,0,0,0,0,0,0,6,7,23,36,0,13,382,26,457,animal,MCO
Monaco,0,0,0,0,0,0,0,1,1,2,0,0,39,1,42,plant,MCO
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MCO
Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,fungus,FLK
Montenegro,1,0,1,1,0,2,17,31,59,107,0,87,978,82,"1,255",animal,MNE
Montenegro,0,0,0,0,0,0,1,2,3,6,0,10,371,17,404,plant,MNE
Faroe Islands,0,0,0,0,0,0,0,0,4,4,0,0,5,0,9,fungus,FRO
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MNE
Netherlands,1,0,1,0,0,1,8,5,33,46,0,49,752,37,885,animal,NLD
Netherlands,0,0,0,0,0,0,0,1,2,3,0,2,342,10,357,plant,NLD
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,FJI
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,NLD
North Macedonia,2,0,2,2,0,4,19,35,67,121,0,60,725,49,957,animal,MKD
North Macedonia,0,0,0,0,0,0,0,2,4,6,0,6,375,31,418,plant,MKD
Finland,0,0,0,0,0,0,0,2,27,29,0,14,38,1,82,fungus,FIN
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MKD
Norway,0,0,0,0,0,0,7,11,40,58,0,46,661,30,795,animal,NOR
Norway,0,0,0,0,0,0,1,8,11,20,0,6,371,10,407,plant,NOR
France,0,0,0,0,0,0,1,9,44,54,0,22,42,1,119,fungus,FRA
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,NOR
Poland,1,0,1,0,0,1,3,13,36,52,0,59,756,34,902,animal,POL
Poland,0,0,0,0,0,0,1,4,11,16,0,10,418,16,460,plant,POL
French Guiana,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,fungus,GUF
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,POL
Portugal,6,0,6,17,0,23,107,94,133,334,0,123,"1,698",290,"2,451",animal,PRT
Portugal,3,0,3,0,0,3,33,54,57,144,0,59,576,44,826,plant,PRT
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,PYF
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,PRT
Romania,2,0,2,2,0,4,19,28,76,123,0,74,930,74,"1,203",animal,ROU
Romania,0,0,0,0,0,0,1,8,5,14,0,10,453,44,521,plant,ROU
French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ATF
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ROU
San Marino,0,0,0,0,0,0,1,0,2,3,0,5,61,4,73,animal,SMR
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,plant,SMR
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SMR
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GAB
Serbia,0,0,0,1,0,1,10,12,50,72,0,65,824,29,990,animal,SRB
Serbia,0,0,0,0,0,0,0,6,3,9,0,10,416,37,472,plant,SRB
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GMB
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SRB
Slovakia,0,0,0,0,0,0,6,12,36,54,0,60,723,44,881,animal,SVK
Slovakia,0,0,0,0,0,0,9,13,10,32,0,7,330,32,401,plant,SVK
Georgia,0,0,0,0,0,0,0,0,4,4,0,1,9,0,14,fungus,GEO
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SVK
Slovenia,0,0,0,0,0,0,12,27,107,146,0,56,"1,081",85,"1,368",animal,SVN
Slovenia,0,0,0,0,0,0,1,5,7,13,0,10,449,25,497,plant,SVN
Germany,0,0,0,0,0,0,1,7,39,47,0,23,41,2,113,fungus,DEU
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SVN
Spain,2,0,2,12,0,14,77,142,230,449,0,275,"2,175",495,"3,396",animal,ESP
Spain,1,1,2,1,0,3,81,110,90,281,2,85,851,47,"1,268",plant,ESP
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GHA
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ESP
Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,10,11,0,7,74,4,96,animal,SJM
Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,0,1,0,0,42,0,43,plant,SJM
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GIB
Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SJM
Sweden,0,0,0,0,0,0,5,7,36,48,0,50,681,32,811,animal,SWE
Sweden,0,0,0,0,0,0,0,4,6,10,0,9,404,14,437,plant,SWE
Greece,0,0,0,0,0,0,0,3,4,7,0,2,12,0,21,fungus,GRC
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SWE
Switzerland,6,0,6,0,0,6,4,15,53,72,0,68,782,58,986,animal,CHE
Switzerland,0,0,0,0,0,0,3,7,10,20,0,10,460,21,511,plant,CHE
Greenland,0,0,0,0,0,0,0,0,2,2,0,1,1,0,4,fungus,GRL
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CHE
United Kingdom,2,0,2,0,0,2,12,21,58,91,0,60,986,72,"1,211",animal,GBR
United Kingdom,0,1,1,0,0,1,21,16,16,53,0,13,420,17,504,plant,GBR
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GRD
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GBR
Belize,1,0,1,0,0,1,11,28,58,97,0,59,"2,074",94,"2,325",animal,BLZ
Belize,0,0,0,0,0,0,3,28,27,58,0,11,832,4,905,plant,BLZ
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BLZ
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GLP
Costa Rica,4,0,4,7,0,11,35,82,154,271,0,107,"3,392",235,"4,009",animal,CRI
Costa Rica,0,0,0,0,0,0,14,67,100,181,2,63,"1,767",22,"2,035",plant,CRI
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GUM
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CRI
El Salvador,0,0,0,0,0,0,8,24,52,84,0,49,"1,615",84,"1,832",animal,SLV
El Salvador,0,0,0,0,0,0,3,14,27,44,0,8,674,10,736,plant,SLV
Guatemala,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,fungus,GTM
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SLV
Guatemala,3,0,3,5,0,8,47,88,122,257,0,83,"2,810",167,"3,320",animal,GTM
Guatemala,0,0,0,0,0,0,17,70,81,168,2,30,"1,205",19,"1,424",plant,GTM
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,GGY
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GTM
Honduras,4,0,4,10,0,14,62,76,107,245,0,88,"3,030",160,"3,527",animal,HND
Honduras,0,1,1,0,0,1,43,59,41,143,1,24,"1,173",6,"1,348",plant,HND
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GIN
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HND
Mexico,21,9,30,35,3,68,202,343,362,907,1,217,"4,930",585,"6,670",animal,MEX
Mexico,2,3,5,5,3,13,162,460,358,980,5,115,"2,370",143,"3,618",plant,MEX
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,GNB
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MEX
Nicaragua,1,0,1,0,0,1,26,31,95,152,0,82,"2,948",162,"3,345",animal,NIC
Nicaragua,0,0,0,0,0,0,4,23,29,56,1,30,"1,280",6,"1,373",plant,NIC
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,NIC
Guyana,0,0,0,0,0,0,0,0,1,1,0,0,2,8,11,fungus,GUY
Panama,2,0,2,8,1,11,56,82,131,269,0,118,"3,534",296,"4,219",animal,PAN
Panama,0,0,0,0,1,1,21,82,107,210,2,63,"1,806",65,"2,146",plant,PAN
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,HTI
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,PAN
Algeria,2,1,3,0,0,3,18,40,77,135,0,56,928,142,"1,264",animal,DZA
Algeria,0,0,0,0,0,0,6,9,15,30,0,33,442,15,520,plant,DZA
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,HMD
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DZA
Egypt,1,1,2,0,0,2,15,36,129,180,2,134,"1,759",184,"2,261",animal,EGY
Egypt,0,0,0,0,0,0,2,5,1,8,0,2,323,5,338,plant,EGY
Holy See (Vatican City State),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,VAT
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,EGY
Libya,0,1,1,0,0,1,11,18,45,74,0,29,689,69,862,animal,LBY
Libya,0,0,0,0,0,0,1,2,6,9,0,7,220,3,239,plant,LBY
Honduras,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,fungus,HND
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LBY
Morocco,2,0,2,0,0,2,30,63,95,188,0,79,"1,458",176,"1,903",animal,MAR
Morocco,0,0,0,0,0,0,4,26,27,57,0,44,474,18,593,plant,MAR
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,HKG
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MAR
Tunisia,11,0,11,1,0,12,16,26,61,103,0,47,856,102,"1,119",animal,TUN
