,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
74,Montenegro,0,0,0,0,0,0,1,2,3,6,0,10,371,17,404,plant
75,Netherlands,0,0,0,0,0,0,0,1,2,3,0,2,342,10,357,plant
76,North Macedonia,0,0,0,0,0,0,0,2,4,6,0,6,375,31,418,plant
77,Norway,0,0,0,0,0,0,1,8,11,20,0,6,371,10,407,plant
78,Poland,0,0,0,0,0,0,1,4,11,16,0,10,418,16,460,plant
79,Portugal,3,0,3,0,0,3,33,54,57,144,0,59,576,44,826,plant
80,Romania,0,0,0,0,0,0,1,8,5,14,0,10,453,44,521,plant
81,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,plant
82,Serbia,0,0,0,0,0,0,0,6,3,9,0,10,416,37,472,plant
83,Slovakia,0,0,0,0,0,0,9,13,10,32,0,7,330,32,401,plant
84,Slovenia,0,0,0,0,0,0,1,5,7,13,0,10,449,25,497,plant
85,Spain,1,1,2,1,0,3,81,110,90,281,2,85,851,47,"1,268",plant
86,Svalbard and Jan Mayen,0,0,0,0,0,0,0,1,0,1,0,0,42,0,43,plant
87,Sweden,0,0,0,0,0,0,0,4,6,10,0,9,404,14,437,plant
88,Switzerland,0,0,0,0,0,0,3,7,10,20,0,10,460,21,511,plant
89,United Kingdom,0,1,1,0,0,1,21,16,16,53,0,13,420,17,504,plant
90,Belize,0,0,0,0,0,0,3,28,27,58,0,11,832,4,905,plant
91,Costa Rica,0,0,0,0,0,0,14,67,100,181,2,63,"1,767",22,"2,035",plant
92,El Salvador,0,0,0,0,0,0,3,14,27,44,0,8,674,10,736,plant
93,Guatemala,0,0,0,0,0,0,17,70,81,168,2,30,"1,205",19,"1,424",plant
94,Honduras,0,1,1,0,0,1,43,59,41,143,1,24,"1,173",6,"1,348",plant
95,Mexico,2,3,5,5,3,13,162,460,358,980,5,115,"2,370",143,"3,618",plant
96,Nicaragua,0,0,0,0,0,0,4,23,29,56,1,30,"1,280",6,"1,373",plant
97,Panama,0,0,0,0,1,1,21,82,107,210,2,63,"1,806",65,"2,146",plant
98,Algeria,0,0,0,0,0,0,6,9,15,30,0,33,442,15,520,plant
99,Egypt,0,0,0,0,0,0,2,5,1,8,0,2,323,5,338,plant
100,Libya,0,0,0,0,0,0,1,2,6,9,0,7,220,3,239,plant
101,Morocco,0,0,0,0,0,0,4,26,27,57,0,44,474,18,593,plant
102,Tunisia,0,0,0,0,0,0,3,3,6,12,0,24,306,9,351,plant
103,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,plant
104,Canada,1,0,1,0,0,1,6,6,9,21,0,17,992,13,"1,044",plant
105,Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,plant
106,United States,34,5,39,14,12,65,306,197,127,630,0,74,"1,935",36,"2,714",plant
107,Belarus,0,0,0,0,0,0,1,1,0,2,0,2,243,13,260,plant
108,Moldova,0,0,0,0,0,0,0,0,2,2,0,4,208,13,227,plant
109,Russian Federation,0,0,0,0,0,0,8,30,28,66,0,22,677,57,822,plant
110,Ukraine,1,0,1,0,0,1,3,14,12,29,0,8,433,51,522,plant
111,American Samoa,0,0,0,0,0,0,0,1,1,2,0,4,74,0,80,plant
112,Australia,3,0,3,2,0,5,92,266,382,740,3,245,"2,512",76,"3,579",plant
113,Christmas Island,0,0,0,0,0,0,0,0,2,2,0,0,43,0,45,plant
114,Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,plant
115,Cook Islands,1,0,1,0,0,1,8,2,2,12,0,0,49,3,65,plant
