,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
0,Antarctica,0,0,0,0,0,0,0,1,7,8,0,5,162,35,210,animal
1,Bouvet Island,0,0,0,0,0,0,0,0,2,2,0,0,93,3,98,animal
2,French Southern Territories,1,0,1,0,0,1,3,10,16,29,0,7,977,54,"1,068",animal
3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,4,9,13,0,1,125,6,145,animal
4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,4,5,9,0,6,195,12,222,animal
5,Anguilla,1,0,1,0,0,1,9,14,35,58,0,23,"1,156",67,"1,305",animal
6,Antigua and Barbuda,3,0,3,0,0,3,12,14,37,63,0,29,"1,274",68,"1,437",animal
7,Aruba,0,0,0,0,0,0,7,10,30,47,0,23,"1,111",55,"1,236",animal
8,Bahamas,2,0,2,1,0,3,14,22,52,88,0,41,"1,711",116,"1,958",animal
9,Barbados,1,0,1,3,0,4,13,14,35,62,0,32,"1,277",70,"1,442",animal
10,Bermuda,5,0,5,1,1,7,31,12,30,73,0,25,947,70,"1,120",animal
11,"Bonaire, Sint Eustatius and Saba",1,0,1,0,0,1,11,12,42,65,0,25,"1,232",75,"1,398",animal
12,Cayman Islands,2,0,2,0,0,2,11,19,32,62,0,32,"1,182",70,"1,348",animal
13,Cuba,7,0,7,3,0,10,37,69,82,188,0,69,"1,782",130,"2,176",animal
14,Curaçao,0,0,0,0,0,0,10,14,36,60,0,24,"1,125",77,"1,286",animal
15,Dominica,1,0,1,1,0,2,11,17,37,65,0,34,"1,306",72,"1,478",animal
16,Dominican Republic,9,0,9,6,0,15,32,62,66,160,0,56,"1,462",79,"1,766",animal
17,Grenada,0,0,0,0,0,0,10,14,38,62,0,28,"1,252",72,"1,414",animal
18,Guadeloupe,7,0,7,2,0,9,13,20,42,75,0,36,"1,235",70,"1,423",animal
19,Haiti,10,0,10,13,0,23,61,53,66,180,0,54,"1,406",75,"1,725",animal
20,Jamaica,3,0,3,5,0,8,25,41,45,111,0,46,"1,328",79,"1,567",animal
21,Martinique,6,0,6,3,0,9,10,15,29,54,0,27,"1,209",61,"1,357",animal
22,Montserrat,0,0,0,1,0,1,9,12,36,57,0,26,"1,169",58,"1,310",animal
23,Puerto Rico,5,0,5,4,0,9,19,23,40,82,0,41,"1,495",85,"1,708",animal
24,Saint Barthélemy,0,0,0,0,0,0,6,10,27,43,0,14,815,38,910,animal
25,Saint Kitts and Nevis,1,0,1,0,0,1,10,11,37,58,0,29,"1,225",65,"1,378",animal
26,Saint Lucia,3,0,3,0,0,3,10,21,35,66,0,31,"1,274",62,"1,436",animal
27,Saint Martin (French part),0,0,0,1,0,1,9,11,35,55,0,19,"1,038",65,"1,177",animal
