,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
227,908,908,227,Bahrain,0,0,0,0,0,0,10,10,30,50,0,53,642,31,776,animal,BHR
228,912,912,228,Cyprus,0,0,0,1,0,1,10,21,35,66,0,37,650,66,819,animal,CYP
229,916,916,229,Georgia,0,0,0,0,0,0,7,10,39,56,0,47,601,24,728,animal,GEO
230,920,920,230,"Iran, Islamic Republic of",0,1,1,1,0,2,23,40,94,157,0,98,"1,698",163,"2,117",animal,IRN
231,924,924,231,Iraq,0,0,0,1,0,1,12,16,53,81,0,71,935,48,"1,135",animal,IRQ
232,928,928,232,Israel,4,0,4,0,0,4,23,46,122,191,0,135,"1,601",154,"2,085",animal,ISR
233,932,932,233,Jordan,0,0,0,0,0,0,4,26,88,118,0,118,"1,253",97,"1,586",animal,JOR
234,936,936,234,Kazakhstan,1,1,2,2,0,4,15,19,44,78,0,38,760,60,938,animal,KAZ
235,940,940,235,Kuwait,1,0,1,0,0,1,8,13,39,60,0,55,753,35,904,animal,KWT
236,944,944,236,Kyrgyzstan,0,0,0,0,0,0,1,12,26,39,0,24,461,14,538,animal,KGZ
237,948,948,237,Lebanon,0,0,0,0,0,0,9,27,47,83,0,40,722,69,914,animal,LBN
238,952,952,238,Oman,0,0,0,1,0,1,13,34,70,117,0,94,"1,581",129,"1,921",animal,OMN
239,956,956,239,Pakistan,0,0,0,1,0,1,20,46,89,155,0,97,"1,667",96,"2,015",animal,PAK
240,960,960,240,"Palestine, State of",0,0,0,0,0,0,4,13,17,34,0,22,366,21,443,animal,PSE
241,964,964,241,Qatar,0,0,0,0,0,0,11,10,36,57,0,54,666,25,802,animal,QAT
242,968,968,242,Saudi Arabia,1,0,1,0,0,1,13,34,106,153,2,139,"1,602",151,"2,048",animal,SAU
243,972,972,243,Syrian Arab Republic,1,0,1,6,0,7,18,37,65,120,0,51,857,90,"1,119",animal,SYR
244,976,976,244,Tajikistan,0,0,0,1,0,1,3,9,24,36,0,21,460,26,543,animal,TJK
245,980,980,245,Turkey,4,0,4,12,0,16,69,108,124,301,0,104,"1,295",196,"1,900",animal,TUR
246,984,984,246,Turkmenistan,0,1,1,1,0,2,11,14,30,55,0,29,573,44,702,animal,TKM
247,988,988,247,United Arab Emirates,0,0,0,0,0,0,10,25,45,80,0,57,"1,072",58,"1,267",animal,ARE
248,992,992,248,Uzbekistan,0,0,0,2,0,2,9,10,28,47,0,28,505,22,602,animal,UZB
249,996,996,249,Yemen,2,0,2,1,0,3,11,34,118,163,0,154,"1,909",185,"2,413",animal,YEM
