,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
70,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
71,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
72,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
73,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
74,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
75,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
76,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
77,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
78,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
79,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
80,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
81,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
82,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
83,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
84,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
85,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
86,Svalbard and Jan Mayen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
87,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
88,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
89,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
90,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
91,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
92,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
93,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
94,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
95,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
96,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
97,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
98,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
99,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
100,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
101,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
102,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
103,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
