,,VERTEBRATES,,,,,,INVERTEBRATES,,,,,,,,,PLANTS,,,,,,,FUNGI & PROTISTS,,,,TOTAL
Year,,Mammals,Birds,Reptiles,Amphibians,Fishes,"Subtotal
(Vertebrates)",Insects,Molluscs,Crustaceans,Corals,Arachnids,"Velvet
worms","Horseshoe
crabs","Other
invertebrates","Subtotal
(Invertebrates)",Mosses,"Ferns &
allies",Gymnosperms,"Flowering
plants","Green
algae","Red
algae","Subtotal
(Plants)",Lichens,Mushrooms,"Brown
algae","Subtotal
(Fungi & protists)",
"2014
(version 2014-3)",Total assessed,5513,10425,4414,6414,12457,39223,5304,7217,3164,856,209,11,4,453,17218,102,360,1010,18195,13,58,19738,4,1,15,20,76199
,Total threatened,1199,1373,927,1957,2222,7678,993,1950,725,235,163,9,0,65,4140,76,194,400,9905,0,9,10584,4,1,6,11,22413
"2013
(version 2013.2)",Total assessed,5506,10065,4204,6409,11172,37356,4610,6809,3163,856,35,11,4,423,15911,102,342,1010,16766,13,58,18291,2,1,15,18,71576
,Total threatened,1143,1308,879,1950,2110,7390,896,1898,723,235,21,9,0,40,3822,76,187,399,9394,0,9,10065,2,1,6,9,21286
"2012
(version 2012.2)",Total assessed,5501,10064,3755,6374,10590,36284,4003,6183,2399,858,34,11,4,50,13542,102,311,1012,14178,13,58,15674,2,1,15,18,65518
,Total threatened,1139,1313,807,1933,2058,7250,829,1857,596,236,20,9,0,23,3570,76,167,374,8764,0,9,9390,2,1,6,9,20219
"2011
(version 2011.2)",Total assessed,5499,10052,3336,6338,9554,34779,3844,5422,2399,856,33,11,4,52,12621,101,310,1020,12994,13,58,14496,2,1,15,18,61914
,Total threatened,1138,1253,772,1917,2028,7108,741,1673,596,235,19,9,0,24,3297,80,163,377,8527,0,9,9156,2,1,6,9,19570
"2010
(version 2010.4)",Total assessed,5491,10027,2806,6296,8848,33468,3269,3149,2152,856,33,11,4,52,9526,101,243,926,11584,2,58,12914,2,1,15,18,55926
,Total threatened,1131,1240,594,1898,1851,6714,733,1288,596,235,19,9,0,24,2904,80,148,371,8116,0,9,8724,2,1,6,9,18351
"2009
(version 2009.2)",Total assessed,5490,9998,1677,6285,4443,27893,2619,2306,1735,856,32,11,4,52,7615,95,211,909,10876,2,58,12151,2,1,15,18,47677
,Total threatened,1142,1223,469,1895,1414,6143,711,1036,606,235,18,9,0,24,2639,82,139,322,7948,0,9,8500,2,1,6,9,17291
2008,Total assessed,5488,9990,1385,6260,3481,26604,1259,2212,1735,856,32,11,4,52,6161,95,211,910,10779,2,58,12055,2,1,15,18,44838
