,Unnamed: 0,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
60,15,Dominica,1,0,1,1,0,2,11,17,37,65,0,34,"1,306",72,"1,478",animal,DMA
61,15,Dominica,0,0,0,0,0,0,1,3,8,12,0,3,234,3,252,plant,DMA
62,15,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DMA
63,226,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus,AZE
64,16,Dominican Republic,9,0,9,6,0,15,32,62,66,160,0,56,"1,462",79,"1,766",animal,DOM
65,16,Dominican Republic,0,0,0,1,0,1,7,16,30,53,0,8,428,8,497,plant,DOM
66,8,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BHS
67,16,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DOM
68,17,Grenada,0,0,0,0,0,0,10,14,38,62,0,28,"1,252",72,"1,414",animal,GRD
69,17,Grenada,0,0,0,0,0,0,0,1,3,4,0,3,173,0,180,plant,GRD
70,17,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRD
71,227,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BHR
72,18,Guadeloupe,7,0,7,2,0,9,13,20,42,75,0,36,"1,235",70,"1,423",animal,GLP
73,18,Guadeloupe,0,0,0,0,0,0,0,3,8,11,0,2,243,2,258,plant,GLP
74,18,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GLP
75,153,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BGD
76,19,Haiti,10,0,10,13,0,23,61,53,66,180,0,54,"1,406",75,"1,725",animal,HTI
77,19,Haiti,1,0,1,18,0,19,52,44,39,135,0,7,406,20,569,plant,HTI
78,19,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HTI
79,9,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BRB
80,20,Jamaica,3,0,3,5,0,8,25,41,45,111,0,46,"1,328",79,"1,567",animal,JAM
81,20,Jamaica,2,0,2,0,0,2,43,54,118,215,0,76,416,7,716,plant,JAM
82,107,Belarus,0,0,0,0,0,0,0,1,2,3,0,2,7,0,12,fungus,BLR
83,20,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,JAM
84,21,Martinique,6,0,6,3,0,9,10,15,29,54,0,27,"1,209",61,"1,357",animal,MTQ
85,21,Martinique,0,0,0,0,0,0,0,3,7,10,0,3,237,2,252,plant,MTQ
86,21,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MTQ
87,46,Belgium,0,0,0,0,0,0,0,2,21,23,0,7,38,0,68,fungus,BEL
88,22,Montserrat,0,0,0,1,0,1,9,12,36,57,0,26,"1,169",58,"1,310",animal,MSR
89,22,Montserrat,0,0,0,1,0,1,3,1,3,7,0,1,156,0,164,plant,MSR
90,22,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MSR
91,90,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BLZ
92,23,Puerto Rico,5,0,5,4,0,9,19,23,40,82,0,41,"1,495",85,"1,708",animal,PRI
93,23,Puerto Rico,0,0,0,0,0,0,23,23,22,68,0,17,396,4,485,plant,PRI
94,173,Benin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,BEN
95,23,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,PRI
96,24,Saint Barthélemy,0,0,0,0,0,0,6,10,27,43,0,14,815,38,910,animal,BLM
97,24,Saint Barthélemy,0,0,0,0,0,0,0,1,1,2,0,1,86,0,89,plant,BLM
98,24,Saint Barthélemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BLM
99,10,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BMU
100,25,Saint Kitts and Nevis,1,0,1,0,0,1,10,11,37,58,0,29,"1,225",65,"1,378",animal,KNA
101,25,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,2,2,0,1,128,2,133,plant,KNA
102,25,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,KNA
103,154,Bhutan,0,0,0,0,0,0,0,0,2,2,0,0,2,0,4,fungus,BTN
104,26,Saint Lucia,3,0,3,0,0,3,10,21,35,66,0,31,"1,274",62,"1,436",animal,LCA
105,26,Saint Lucia,0,0,0,0,0,0,0,2,6,8,0,3,207,1,219,plant,LCA
106,26,Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,LCA
107,140,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,BOL
108,27,Saint Martin (French part),0,0,0,1,0,1,9,11,35,55,0,19,"1,038",65,"1,177",animal,MAF
109,27,Saint Martin (French part),0,0,0,0,0,0,0,2,1,3,0,1,118,1,123,plant,MAF
110,27,Saint Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MAF
111,11,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BES
112,28,Saint Vincent and the Grenadines,1,0,1,0,0,1,9,16,38,63,0,29,"1,302",68,"1,463",animal,VCT
113,28,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,1,4,5,0,3,220,2,230,plant,VCT
114,28,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VCT
115,47,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,1,1,0,1,4,0,6,fungus,BIH
116,29,Sint Maarten (Dutch part),0,0,0,1,0,1,9,11,35,55,0,17,"1,016",58,"1,146",animal,SXM
117,29,Sint Maarten (Dutch part),0,0,0,0,0,0,0,2,0,2,0,1,67,0,70,plant,SXM
118,29,Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SXM
119,174,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BWA
120,30,Trinidad and Tobago,0,0,0,0,0,0,14,18,49,81,1,38,"1,906",89,"2,115",animal,TTO
121,30,Trinidad and Tobago,0,0,0,6,0,6,15,20,15,50,0,8,479,7,544,plant,TTO
122,30,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TTO
123,1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BVT
124,31,Turks and Caicos Islands,0,0,0,0,0,0,7,14,37,58,0,28,"1,195",67,"1,348",animal,TCA
125,31,Turks and Caicos Islands,0,0,0,0,0,0,1,7,1,9,0,2,107,1,119,plant,TCA
126,31,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TCA
127,141,Brazil,0,0,0,0,0,0,1,2,13,16,0,1,5,4,26,fungus,BRA
128,32,"Virgin Islands, British",0,0,0,2,0,2,14,15,38,67,0,29,"1,263",72,"1,431",animal,VGB
129,32,"Virgin Islands, British",0,0,0,0,0,0,2,15,7,24,0,12,180,0,216,plant,VGB
130,32,"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VGB
131,155,British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,IOT
132,33,"Virgin Islands, U.S.",1,0,1,5,0,6,11,16,30,57,0,29,"1,243",71,"1,401",animal,VIR
133,33,"Virgin Islands, U.S.",0,0,0,0,0,0,2,10,8,20,0,12,201,0,233,plant,VIR
134,33,"Virgin Islands, U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,VIR
135,156,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BRN
136,34,China,4,1,5,17,0,22,105,198,314,617,1,247,"4,316","1,045","6,231",animal,CHN
137,34,China,3,0,3,8,4,15,113,291,262,666,4,98,"2,349",202,"3,322",plant,CHN
138,48,Bulgaria,0,0,0,0,0,0,0,0,8,8,0,5,12,0,25,fungus,BGR
139,34,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CHN
140,35,Hong Kong,0,0,0,1,0,1,13,24,40,77,1,30,940,91,"1,139",animal,HKG
141,35,Hong Kong,0,0,0,0,0,0,3,6,5,14,0,5,295,2,316,plant,HKG
142,175,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BFA
143,35,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HKG
144,36,Japan,14,1,15,1,0,16,46,149,256,451,3,267,"3,372",508,"4,616",animal,JPN
145,36,Japan,0,0,0,0,0,0,14,22,18,54,0,17,704,29,804,plant,JPN
146,176,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BDI
147,36,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,JPN
148,37,"Korea, Democratic People's Republic of",1,0,1,0,0,1,7,26,47,80,0,37,718,72,908,animal,PRK
149,37,"Korea, Democratic People's Republic of",0,0,0,0,0,0,1,11,7,19,0,3,267,14,303,plant,PRK
150,184,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CIV
151,37,"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,PRK
152,38,"Korea, Republic of",1,0,1,0,0,1,12,39,61,112,0,50,"1,242",108,"1,513",animal,KOR
153,38,"Korea, Republic of",0,0,0,0,0,0,6,20,11,37,0,7,340,9,393,plant,KOR
154,177,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,CPV
155,38,"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,KOR
156,39,Macao,0,0,0,0,0,0,5,10,11,26,0,5,402,31,464,animal,MAC
157,39,Macao,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,plant,MAC
158,39,Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MAC
159,157,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,KHM
160,40,Mongolia,0,0,0,0,0,0,5,11,24,40,0,29,546,10,625,animal,MNG
161,40,Mongolia,0,0,0,0,0,0,0,0,0,0,0,1,217,10,228,plant,MNG
162,178,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,CMR
163,40,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,MNG
164,41,"Taiwan, Province of China",0,0,0,0,0,0,21,69,221,311,2,214,"2,997",308,"3,832",animal,TWN
165,41,"Taiwan, Province of China",0,1,1,2,1,4,16,41,31,88,1,14,591,16,711,plant,TWN
166,104,Canada,0,0,0,0,0,0,1,10,14,25,0,16,36,2,79,fungus,CAN
167,41,"Taiwan, Province of China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,TWN
168,42,Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,animal,ALA
